geoid,0,1,2
14000US36061003001,2.0,2.0,2.0
14000US36059414303,10.0,2.0,9.0
14000US36059519500,10.0,2.0,9.0
14000US36047007000,2.0,2.0,2.0
14000US36047150200,1.0,1.0,1.0
14000US34003012001,1.0,1.0,1.0
14000US34017013100,1.0,1.0,1.0
14000US36047037900,24.0,2.0,22.0
14000US36081050400,2.0,2.0,2.0
14000US36081032900,10.0,11.0,9.0
14000US36061009600,25.0,22.0,23.0
14000US36081061301,2.0,2.0,2.0
14000US36081052600,1.0,15.0,1.0
14000US36061008400,2.0,2.0,2.0
14000US34013006800,1.0,1.0,1.0
14000US34025811301,1.0,1.0,1.0
14000US34025810800,1.0,1.0,1.0
14000US34003021400,1.0,1.0,1.0
14000US36119012200,9.0,10.0,7.0
14000US36005041400,9.0,10.0,7.0
14000US34025800800,1.0,1.0,1.0
14000US34025802100,1.0,1.0,1.0
14000US34013000300,1.0,1.0,1.0
14000US34017005801,1.0,1.0,1.0
14000US36081029700,1.0,2.0,1.0
14000US36005028900,26.0,8.0,24.0
14000US34013020300,1.0,1.0,1.0
14000US34039033400,1.0,1.0,1.0
14000US34019010900,1.0,1.0,1.0
14000US34039039600,1.0,1.0,1.0
14000US36005004001,9.0,10.0,7.0
14000US36071000600,9.0,10.0,7.0
14000US36061006400,2.0,2.0,25.0
14000US36061006600,12.0,23.0,12.0
14000US34031183101,1.0,1.0,1.0
14000US34031246300,1.0,1.0,1.0
14000US36047045300,2.0,2.0,2.0
14000US36047076400,14.0,14.0,26.0
14000US36081067100,10.0,12.0,9.0
14000US36081028100,21.0,20.0,14.0
14000US36059303201,10.0,11.0,9.0
14000US36059405900,17.0,20.0,17.0
14000US34017003100,1.0,1.0,2.0
14000US34029727002,1.0,1.0,1.0
14000US34013016500,1.0,1.0,1.0
14000US34013009400,1.0,1.0,1.0
14000US36061001300,27.0,24.0,27.0
14000US36081029300,13.0,23.0,14.0
14000US34023001002,1.0,1.0,1.0
14000US36047016500,2.0,2.0,2.0
14000US36047055700,2.0,2.0,2.0
14000US36061026300,12.0,15.0,28.0
14000US36081028900,13.0,15.0,29.0
14000US36103158110,10.0,2.0,9.0
14000US36103158103,10.0,2.0,9.0
14000US36119002106,9.0,10.0,7.0
14000US36119014604,9.0,10.0,7.0
14000US34017016900,1.0,1.0,1.0
14000US34003006300,1.0,1.0,1.0
14000US36085000700,6.0,6.0,8.0
14000US36047032600,6.0,6.0,8.0
14000US36061011201,28.0,25.0,16.0
14000US36047026100,16.0,26.0,30.0
14000US34025803600,1.0,1.0,1.0
14000US34029722100,1.0,1.0,1.0
14000US36047022100,2.0,2.0,2.0
14000US36047056100,2.0,2.0,2.0
14000US34039032902,1.0,1.0,1.0
14000US36061011300,29.0,27.0,8.0
14000US36081119300,10.0,2.0,9.0
14000US36103159511,10.0,2.0,9.0
14000US34023002402,1.0,1.0,1.0
14000US34023002302,1.0,1.0,1.0
14000US34013011600,1.0,1.0,1.0
14000US34013017100,1.0,1.0,1.0
14000US34013007900,1.0,1.0,1.0
14000US36061005200,2.0,2.0,2.0
14000US34031180201,1.0,1.0,1.0
14000US36103112104,10.0,2.0,9.0
14000US36059522700,10.0,2.0,9.0
14000US36047052500,13.0,23.0,14.0
14000US36081068700,13.0,23.0,14.0
14000US36047060800,30.0,26.0,18.0
14000US34023007907,31.0,1.0,31.0
14000US34023007801,1.0,1.0,1.0
14000US36047055100,2.0,2.0,2.0
14000US36047008000,6.0,6.0,8.0
14000US36047006200,6.0,6.0,8.0
14000US36103158104,10.0,2.0,9.0
14000US36103158804,10.0,2.0,9.0
14000US36061022900,2.0,2.0,2.0
14000US34023003002,1.0,1.0,1.0
14000US36047021500,2.0,2.0,2.0
14000US36061006200,32.0,4.0,15.0
14000US34017006400,2.0,2.0,2.0
14000US36061030700,2.0,2.0,2.0
14000US36059520100,10.0,2.0,9.0
14000US34039034900,1.0,1.0,1.0
14000US34017012900,1.0,1.0,1.0
14000US34039034400,1.0,1.0,1.0
14000US34013010200,1.0,1.0,1.0
14000US36081018900,10.0,2.0,9.0
14000US36047051900,19.0,18.0,15.0
14000US36047013700,2.0,2.0,2.0
14000US36061025900,2.0,2.0,2.0
14000US36103122706,10.0,2.0,9.0
14000US36047022400,12.0,12.0,11.0
14000US36059303700,10.0,12.0,11.0
14000US36061023700,2.0,2.0,2.0
14000US36061007600,17.0,10.0,7.0
14000US36081063500,1.0,2.0,1.0
14000US34029732103,1.0,1.0,1.0
14000US34035053603,1.0,1.0,1.0
14000US34035050500,1.0,1.0,1.0
14000US36103159407,10.0,2.0,9.0
14000US36103158317,10.0,2.0,9.0
14000US34017002200,16.0,19.0,29.0
14000US36119001600,9.0,10.0,7.0
14000US36119001200,9.0,10.0,7.0
14000US36061001502,9.0,10.0,7.0
14000US36079010400,9.0,10.0,7.0
14000US34003003200,1.0,1.0,1.0
14000US36005026701,22.0,21.0,21.0
14000US34003033100,1.0,1.0,1.0
14000US34017019300,1.0,1.0,1.0
14000US34023001413,1.0,1.0,1.0
14000US34013009900,1.0,1.0,1.0
14000US34031246103,1.0,1.0,1.0
14000US34003032104,1.0,1.0,1.0
14000US36047049100,2.0,2.0,2.0
14000US36061010300,10.0,10.0,9.0
14000US36081016100,33.0,28.0,6.0
14000US36047022700,2.0,2.0,2.0
14000US34003054600,1.0,1.0,1.0
14000US34003041200,1.0,1.0,1.0
14000US34025808001,1.0,1.0,1.0
14000US34017018000,1.0,1.0,1.0
14000US34017015900,1.0,1.0,1.0
14000US36005037200,1.0,1.0,1.0
14000US36027221100,9.0,10.0,7.0
14000US36081037300,11.0,11.0,10.0
14000US36005015800,9.0,10.0,7.0
14000US36005013800,9.0,10.0,7.0
14000US36085031902,6.0,6.0,8.0
14000US36085024700,6.0,6.0,8.0
14000US36047078800,30.0,7.0,26.0
14000US36047028900,30.0,26.0,2.0
14000US34039031700,1.0,1.0,1.0
14000US34017000400,1.0,1.0,1.0
14000US34017018600,1.0,1.0,1.0
